time,v_xP,v_yP,x_P,y_P
0,0.5,0,1,0
0.00267934552694355,0.5,0,1.00020093969825,0.00013396727534552
0.0160760731616613,0.5,0,1.00120530183678,0.000803803441887938
0.0830597113352501,0.5,0,1.00621872122021,0.00415295586110771
0.417977902203194,0.5,0,1.03107824342778,0.020895180585343
0.999999999999993,0.5,0,1.07347733244264,0.049950792821119
1,1,0,1.07347733244264,0.0499507928211193
1.00000000000001,1,0,1.07347733244264,0.0499507928211208
1.60000000000001,1,0,1.15786827814357,0.109511132829875
2.20000000000001,1,0,1.23854116557031,0.168317671663667
2.80000000000001,1,0,1.31592007425192,0.226117269978624
2.99999999999997,1,0,1.34105122604963,0.245129639078566
3,1,0.5,1.34105122604963,0.245129639078569
3.00000000000003,1,0.5,1.34105122604963,0.245129639078574
3.60000000000003,1,0.5,1.41820884691499,0.354472998799396
4.20000000000003,1,0.5,1.48846056298959,0.46298385701045
4.80000000000003,1,0.5,1.55260409002631,0.569744478462067
5.40000000000003,1,0.5,1.61148810072316,0.674131332827051
6.00000000000003,1,0.5,1.66594038691509,0.775769129007186
6.60000000000003,1,0.5,1.71672343452875,0.874478289573581
7.20000000000003,1,0.5,1.76451170781455,0.970224692687923
7.80000000000003,1,0.5,1.80988428817238,1.06307625909692
8.40000000000003,1,0.5,1.85332728776946,1.15316797438036
9.00000000000003,1,0.5,1.89524175748659,1.24067515663687
9.60000000000003,1,0.5,1.9359541120662,1.3257939055445
10.2,1,0.5,1.97572717277687,1.40872737412594
10.8,1,0.5,2.014770723424,1.48967653125406
11.4,1,0.5,2.0532510167109,1.56883425780742
12,1,0.5,2.09129901099102,1.64638184021016
12.6,1,0.5,2.12901731949435,1.7224871388291
13.2,1,0.5,2.16648596231111,1.79730389250698
13.8,1,0.5,2.20376706066564,1.87097176820902
14.4,1,0.5,2.24090862735987,1.94361687830951
15,1,0.5,2.27794760240538,2.01535257265962
15.6,1,0.5,2.31491226857382,2.08628037416288
16.2,1,0.5,2.35182416367555,2.15649097057375
16.8,1,0.5,2.38869958807271,2.22606520615066
17.4,1,0.5,2.42555078891247,2.29507503820052
18,1,0.5,2.46238688755939,2.36358443814923
18.6,1,0.5,2.49921460391076,2.43165022656156
19.2,1,0.5,2.53603882061547,2.49932283796473
19.8,1,0.5,2.57286302146948,2.56664701544259
20.4,1,0.5,2.60968963116831,2.63366243749666
21,1,0.5,2.64652027789488,2.7004042811316
21.6,1,0.5,2.68335599566622,2.76690372587464
22.2,1,0.5,2.72019737974219,2.83318840372766
22.8,1,0.5,2.75704470553214,2.89928280004652
23.4,1,0.5,2.79389801917255,2.96520861015847
24,1,0.5,2.83075720616582,3.0309850562419
24.6,1,0.5,2.86762204306885,3.09662916865455
25.2,1,0.5,2.90449223612083,3.16215603553814
25.8,1,0.5,2.94136744983742,3.22757902417085
26.4,1,0.5,2.97824732792391,3.29290997719645
27,1,0.5,3.01513150833279,3.35815938653711
27.6000000000001,1,0.5,3.05201963387904,3.42333654749965
28.2000000000001,1,0.5,3.08891135950529,3.48844969531343
28.8000000000001,1,0.5,3.12580635703862,3.55350612609247
29.4000000000001,1,0.5,3.1627043180861,3.61851230399248
30,1,0.5,3.19960495556469,3.68347395613537
