s_L,s_R,b2,b1,b0,a3,a2,a1,a0
0.0000,0.0000,0.000000,1.437005,0.738811,1.000000,0.094406,0.000000,0.000000
0.0000,0.0100,0.000000,1.440131,0.737478,1.000000,0.094099,0.000000,0.000000
0.0000,0.0200,0.000000,1.437778,0.738399,1.000000,0.094688,0.000001,0.000000
0.0000,0.0300,0.000000,1.438130,0.738292,1.000000,0.094710,0.000000,0.000000
0.0000,0.0400,0.000000,1.456976,0.731762,1.000000,0.088776,0.000000,0.000000
0.0000,0.0500,0.000000,1.452646,0.733547,1.000000,0.089687,0.000001,0.000000
0.0000,0.0600,0.000000,1.447829,0.735509,1.000000,0.090666,0.000000,0.000000
0.0000,0.0700,0.000000,1.462205,0.730781,1.000000,0.085582,0.000000,0.000000
0.0000,0.0800,0.000000,1.453911,0.734227,1.000000,0.087047,0.000000,0.000000
0.0000,0.0900,0.000000,1.465836,0.730504,1.000000,0.082404,0.000000,0.000000
0.0000,0.1000,0.000000,1.457954,0.733962,1.000000,0.083565,0.000000,0.000000
0.0000,0.1100,0.000000,1.468804,0.730715,1.000000,0.079003,0.000000,0.000000
0.0000,0.1200,0.000000,1.459335,0.734886,1.000000,0.080253,0.000000,0.000000
0.0000,0.1300,0.000000,1.468239,0.732523,1.000000,0.075978,0.000000,0.000000
0.0000,0.1400,0.000000,1.457231,0.737430,1.000000,0.077313,0.000000,0.000000
0.0000,0.1500,0.000000,1.454352,0.740258,1.000000,0.074303,0.000000,0.000000
0.0000,0.1600,0.000000,1.357412,0.781037,1.000000,0.088355,0.000000,0.000000
0.0000,0.1700,0.000000,1.363025,0.780018,1.000000,0.084521,0.000000,0.000000
0.0000,0.1800,0.000000,1.350203,0.785893,1.000000,0.086071,0.000000,0.000000
0.0000,0.1900,0.000000,1.353302,0.785985,1.000000,0.082633,0.000000,0.000000
0.0000,0.2000,0.000000,1.354668,0.786789,1.000000,0.079534,0.000000,0.000000
0.0000,0.2100,0.000000,1.339555,0.793720,1.000000,0.081133,0.000000,0.000000
0.0000,0.2200,0.000000,1.340392,0.794900,1.000000,0.077875,0.000004,0.000000
0.0000,0.2300,0.000000,1.339633,0.796717,1.000000,0.074857,0.000000,0.000000
0.0000,0.2400,0.000000,1.337192,0.799270,1.000000,0.072146,0.000000,0.000000
0.0000,0.2500,0.000000,1.333615,0.802319,1.000000,0.069576,0.000000,0.000000
0.0000,0.2600,0.000000,1.312001,0.812167,1.000000,0.071502,0.000000,0.000000
0.0000,0.2700,0.000000,1.319900,0.811064,1.000000,0.065329,0.000000,0.000000
0.0000,0.2800,0.000000,1.312827,0.815729,1.000000,0.063150,0.000000,0.000000
0.0000,0.2900,0.000000,1.286680,0.827450,1.000000,0.065594,0.000000,0.000000
0.0000,0.3000,0.000000,1.277816,0.832984,1.000000,0.063494,0.000000,0.000000
0.0000,0.3100,0.000000,1.233543,0.857124,1.000000,0.057185,0.000000,0.000000
0.0000,0.3200,0.000000,1.251126,0.847663,1.000000,0.060770,0.000000,0.000000
0.0000,0.3300,0.000000,1.250049,0.850374,1.000000,0.056122,0.000000,0.000000
0.0000,0.3400,0.000000,1.226019,0.862086,1.000000,0.055502,0.000000,0.000000
0.0000,0.3500,0.000000,1.207320,0.872136,1.000000,0.054773,0.000000,0.000000
0.0000,0.3600,0.000000,1.199979,0.877490,1.000000,0.051149,0.000000,0.000000
0.0000,0.3700,0.000000,1.144833,0.906431,1.000000,0.046767,0.000000,0.000000
0.0000,0.3800,0.000000,1.154046,0.900754,1.000000,0.050400,0.000000,0.000000
0.0000,0.3900,0.000000,1.139693,0.908982,1.000000,0.047738,0.000000,0.000000
0.0000,0.4000,0.000000,1.113976,0.921960,1.000000,0.047468,0.000001,0.000000
0.0000,0.4100,0.000000,1.130098,0.914799,1.000000,0.046858,0.000000,0.000000
0.0000,0.4200,0.000000,1.143772,0.908817,1.000000,0.046335,0.000000,0.000000
0.0000,0.4300,0.000000,1.155838,0.903560,1.000000,0.045701,0.000000,0.000000
0.0000,0.4400,0.000000,1.155318,0.903682,1.000000,0.047631,0.000000,0.000000
0.0000,0.4500,0.000000,1.170806,0.897618,1.000000,0.045148,0.000000,0.000000
0.0000,0.4600,0.000000,1.165165,0.899898,1.000000,0.047494,0.000000,0.000000
0.0000,0.4700,0.000000,1.169384,0.898590,1.000000,0.045917,0.000000,0.000000
0.0000,0.4800,0.000000,1.168487,0.899845,1.000000,0.046314,0.000000,0.000000
0.0000,0.4900,0.000000,1.163041,0.902687,1.000000,0.047289,0.000000,0.000000
0.0000,0.5000,0.000000,1.183028,0.891904,1.000000,0.050931,0.000000,0.000000
0.0100,0.0000,0.000000,1.401182,0.747583,1.000000,0.110050,0.000000,0.000000
0.0100,0.0100,0.000000,1.438414,0.736319,1.000000,0.098172,0.000000,0.000000
0.0100,0.0200,0.000000,1.444938,0.733841,1.000000,0.096748,0.000000,0.000000
0.0100,0.0300,0.000000,1.464167,0.727139,1.000000,0.090759,0.000000,0.000000
0.0100,0.0400,0.000000,1.465065,0.726853,1.000000,0.090606,0.000000,0.000000
0.0100,0.0500,0.000000,1.461587,0.728244,1.000000,0.091368,0.000000,0.000000
0.0100,0.0600,0.000000,1.477335,0.722868,1.000000,0.086134,0.000000,0.000000
0.0100,0.0700,0.000000,1.472524,0.724898,1.000000,0.087095,0.000000,0.000000
0.0100,0.0800,0.000000,1.466651,0.727366,1.000000,0.088135,0.000000,0.000000
0.0100,0.0900,0.000000,1.477403,0.724063,1.000000,0.083769,0.000000,0.000000
0.0100,0.1000,0.000000,1.470029,0.727242,1.000000,0.084908,0.000000,0.000000
0.0100,0.1100,0.000000,1.481578,0.723725,1.000000,0.080231,0.000000,0.000000
0.0100,0.1200,0.000000,1.472740,0.727653,1.000000,0.081458,0.000000,0.000000
0.0100,0.1300,0.000000,1.482214,0.724992,1.000000,0.077079,0.000000,0.000000
0.0100,0.1400,0.000000,1.471776,0.729640,1.000000,0.078394,0.000000,0.000000
0.0100,0.1500,0.000000,1.384528,0.767725,1.000000,0.087956,0.000000,0.000000
0.0100,0.1600,0.000000,1.391022,0.766266,1.000000,0.084065,0.000000,0.000000
0.0100,0.1700,0.000000,1.379527,0.771521,1.000000,0.085481,0.000000,0.000000
0.0100,0.1800,0.000000,1.383704,0.771083,1.000000,0.081986,0.000000,0.000000
0.0100,0.1900,0.000000,1.369975,0.777034,1.000000,0.083533,0.000000,0.000000
0.0100,0.2000,0.000000,1.371864,0.777593,1.000000,0.080361,0.000000,0.000000
0.0100,0.2100,0.000000,1.372938,0.778532,1.000000,0.077311,0.000000,0.000000
0.0100,0.2200,0.000000,1.373610,0.779686,1.000000,0.074272,0.000000,0.000000
0.0100,0.2300,0.000000,1.358994,0.786735,1.000000,0.075482,0.000000,0.000000
0.0100,0.2400,0.000000,1.356563,0.789271,1.000000,0.072813,0.000000,0.000000
0.0100,0.2500,0.000000,1.352411,0.792485,1.000000,0.070423,0.000000,0.000000
0.0100,0.2600,0.000000,1.347324,0.796164,1.000000,0.068133,0.000000,0.000000
0.0100,0.2700,0.000000,1.341436,0.800227,1.000000,0.065817,0.000000,0.000000
0.0100,0.2800,0.000000,1.334259,0.804675,1.000000,0.063595,0.000000,0.000000
0.0100,0.2900,0.000000,1.323491,0.810766,1.000000,0.062250,0.000000,0.000000
0.0100,0.3000,0.000000,1.313786,0.816534,1.000000,0.060433,0.000000,0.000000
