s_L,s_R,b2,b1,b0,a3,a2,a1,a0
0.0000,0.0000,0.000000,1.012961,1.013968,1.000000,1.035086,0.991038,1.020688
0.0000,0.0100,0.000000,1.011915,1.012693,1.000000,1.034072,0.990161,1.020784
0.0000,0.0200,0.000000,1.011459,1.012237,1.000000,1.032981,0.989105,1.020150
0.0000,0.0300,0.000000,1.011150,1.011932,1.000000,1.032223,0.988390,1.019699
0.0000,0.0400,0.000000,1.012135,1.012981,1.000000,1.034288,0.989759,1.020728
0.0000,0.0500,0.000000,1.011671,1.012512,1.000000,1.033182,0.988797,1.020093
0.0000,0.0600,0.000000,1.013019,1.013845,1.000000,1.035767,0.992140,1.021388
0.0000,0.0700,0.000000,1.012048,1.012949,1.000000,1.033875,0.988855,1.020361
0.0000,0.0800,0.000000,1.011470,1.012361,1.000000,1.032537,0.987664,1.019611
0.0000,0.0900,0.000000,1.012262,1.013214,1.000000,1.034175,0.988693,1.020412
0.0000,0.1000,0.000000,1.011732,1.012677,1.000000,1.032933,0.987598,1.019707
0.0000,0.1100,0.000000,1.012550,1.013559,1.000000,1.034625,0.988750,1.020540
0.0000,0.1200,0.000000,1.011987,1.012987,1.000000,1.033296,0.987585,1.019781
0.0000,0.1300,0.000000,1.012770,1.013836,1.000000,1.034920,0.988681,1.020581
0.0000,0.1400,0.000000,1.012173,1.013229,1.000000,1.033512,0.987445,1.019777
0.0000,0.1500,0.000000,1.012688,1.013670,1.000000,1.035249,0.989495,1.021050
0.0000,0.1600,0.000000,1.012066,1.013037,1.000000,1.033749,0.988224,1.020182
0.0000,0.1700,0.000000,1.012698,1.013728,1.000000,1.035065,0.988976,1.020826
0.0000,0.1800,0.000000,1.012057,1.013073,1.000000,1.033531,0.987692,1.019945
0.0000,0.1900,0.000000,1.012606,1.013680,1.000000,1.034655,0.988279,1.020481
0.0000,0.2000,0.000000,1.013106,1.014239,1.000000,1.035692,0.988765,1.020981
0.0000,0.2100,0.000000,1.012412,1.013531,1.000000,1.034039,0.987351,1.020031
0.0000,0.2200,0.000000,1.012946,1.014129,1.000000,1.035144,0.987893,1.020560
0.0000,0.2300,0.000000,1.013462,1.014708,1.000000,1.036213,0.988493,1.021077
0.0000,0.2400,0.000000,1.013916,1.015229,1.000000,1.037161,0.988878,1.021531
0.0000,0.2500,0.000000,1.014361,1.015742,1.000000,1.038083,0.989246,1.021968
0.0000,0.2600,0.000000,1.013458,1.014816,1.000000,1.035940,0.987342,1.020732
0.0000,0.2700,0.000000,1.015055,1.016572,1.000000,1.039500,0.989621,1.022614
